epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71822,1.85606,5.39836,1.74942,0.55501,0.54103,0.56544,0.39209,1.29079,2.29431,1.53834,0.083136,0.000136,0.000136
2,9.91449,1.55379,2.39728,1.54806,0.54724,0.5359,0.49083,0.31794,1.6554,2.25194,1.77635,0.0652765,0.0002765,0.0002765
3,15.1418,1.48752,2.22451,1.64642,0.79503,0.60558,0.67927,0.53498,1.17031,2.29681,1.51989,0.0474134,0.000413401,0.000413401
4,25.3015,1.36267,1.88753,1.50282,1,0.60488,0.67145,0.50464,1.28369,1.48043,1.60359,0.0295467,0.000546701,0.000546701
5,30.2297,1.41386,1.71433,1.55082,0.97558,0.54103,0.58537,0.44856,1.18599,1.62122,1.50524,0.0116764,0.000676402,0.000676402
6,34.9337,1.33327,1.83125,1.5306,0.9196,0.56855,0.60663,0.46276,1.21986,1.79264,1.53445,0.000750003,0.000750003,0.000750003
7,40.0653,1.39948,1.78192,1.5064,0.89469,0.49003,0.63709,0.48732,1.3512,1.89109,1.60305,0.000740003,0.000740003,0.000740003
8,44.7963,1.35179,1.543,1.44313,0.87563,0.71005,0.73422,0.51687,1.34437,1.59558,1.66392,0.000730003,0.000730003,0.000730003
9,49.6808,1.31725,1.52084,1.42351,0.92036,0.64615,0.72453,0.54564,1.23596,1.32491,1.57301,0.000720004,0.000720004,0.000720004
10,55.136,1.18081,1.42329,1.37858,0.7154,0.6914,0.67992,0.48971,1.38384,1.72299,1.67192,0.000710005,0.000710005,0.000710005
11,59.917,1.24478,1.32989,1.42788,0.93561,0.71149,0.72812,0.5698,1.20442,1.26373,1.44865,0.000700005,0.000700005,0.000700005
12,65.5268,1.18375,1.37446,1.34388,0.97106,0.68462,0.73176,0.54839,1.1017,1.20502,1.44341,0.000690005,0.000690005,0.000690005
13,70.2886,1.27903,1.35605,1.41333,0.9175,0.71647,0.72805,0.5401,1.1268,1.16077,1.47583,0.000680006,0.000680006,0.000680006
